日期,持仓市值,现金,持仓点数,持仓状态,年份
2012-04-18,94217.35842046585,23384.048043666317,80.70976422501457,1.0,2012
2012-04-19,94038.98984152857,23384.048043666317,80.70976422501457,1.0,2012
2012-04-20,94828.33133564921,94828.33133564921,0.0,0.0,2012
2012-04-23,94828.33133564921,47414.16566782461,53.92814648130095,0.5,2012
2012-04-24,94739.34989395506,94739.34989395506,0.0,0.0,2012
2012-04-25,94739.34989395506,47369.67494697753,53.383304160677895,0.5,2012
2012-04-26,94516.74151560504,47369.67494697753,53.383304160677895,0.5,2012
2012-04-27,94343.77961012445,94343.77961012445,0.0,0.0,2012
2012-05-02,94343.77961012445,47171.88980506222,52.817558649060274,0.5,2012
2012-05-03,94326.87799135674,94326.87799135674,0.0,0.0,2012
2012-05-04,94326.87799135674,47163.43899567837,52.56326300408837,0.5,2012
2012-05-07,94587.06614322698,94587.06614322698,0.0,0.0,2012
2012-05-08,94587.06614322698,47293.53307161349,52.60682210413069,0.5,2012
2012-05-09,93687.48948524635,47293.53307161349,52.60682210413069,0.5,2012
2012-05-10,93680.12453015178,47293.53307161349,52.60682210413069,0.5,2012
2012-05-11,93394.99555434738,47293.53307161349,52.60682210413069,0.5,2012
2012-05-14,93209.81954054085,47293.53307161349,52.60682210413069,0.5,2012
2012-05-15,93194.0374939096,47293.53307161349,52.60682210413069,0.5,2012
2012-05-16,92638.50945248999,47293.53307161349,52.60682210413069,0.5,2012
2012-05-17,93386.05239458967,47293.53307161349,52.60682210413069,0.5,2012
2012-05-18,92873.1358790744,47293.53307161349,52.60682210413069,0.5,2012
2012-05-21,92732.67566405638,47293.53307161349,52.60682210413069,0.5,2012
2012-05-22,93243.48790668749,47293.53307161349,52.60682210413069,0.5,2012
2012-05-23,93125.1225569532,47293.53307161349,52.60682210413069,0.5,2012
2012-05-24,92772.6568488555,23646.766535806746,79.95961910567694,1.0,2012
2012-05-25,92065.01421977027,23646.766535806746,79.95961910567694,1.0,2012
2012-05-28,93086.89815194083,23646.766535806746,79.95961910567694,1.0,2012
2012-05-29,93843.31614868053,23646.766535806746,79.95961910567694,1.0,2012
2012-05-30,93746.56500956266,23646.766535806746,79.95961910567694,1.0,2012
2012-05-31,93510.6841332009,23646.766535806746,79.95961910567694,1.0,2012
2012-06-01,93412.33380170092,23646.766535806746,79.95961910567694,1.0,2012
2012-06-04,91383.7582649899,23646.766535806746,79.95961910567694,1.0,2012
2012-06-05,91544.47709939232,23646.766535806746,79.95961910567694,1.0,2012
2012-06-06,91374.16311069722,23646.766535806746,79.95961910567694,1.0,2012
2012-06-07,91034.33472949809,23646.766535806746,79.95961910567694,1.0,2012
2012-06-08,90640.93340349817,23646.766535806746,79.95961910567694,1.0,2012
2012-06-11,91422.13888216064,23646.766535806746,79.95961910567694,1.0,2012
2012-06-12,91032.73553711598,23646.766535806746,79.95961910567694,1.0,2012
2012-06-13,92048.22269975809,23646.766535806746,79.95961910567694,1.0,2012
2012-06-14,91637.2302575549,23646.766535806746,79.95961910567694,1.0,2012
2012-06-15,92123.38474171741,23646.766535806746,79.95961910567694,1.0,2012
2012-06-18,92415.23735145314,23646.766535806746,79.95961910567694,1.0,2012
2012-06-19,91899.49780822152,23646.766535806746,79.95961910567694,1.0,2012
2012-06-20,91820.33778530691,23646.766535806746,79.95961910567694,1.0,2012
2012-06-21,91119.89152194117,23646.766535806746,79.95961910567694,1.0,2012
2012-06-25,89794.16103716905,23646.766535806746,79.95961910567694,1.0,2012
2012-06-26,89690.21353233168,23646.766535806746,79.95961910567694,1.0,2012
2012-06-27,89446.33669405936,23646.766535806746,79.95961910567694,1.0,2012
2012-06-28,88838.64358885621,23646.766535806746,79.95961910567694,1.0,2012
2012-06-29,89521.4987360187,23646.766535806746,79.95961910567694,1.0,2012
2012-07-02,89738.98889998613,23646.766535806746,79.95961910567694,1.0,2012
2012-07-03,89730.99293807556,23646.766535806746,79.95961910567694,1.0,2012
2012-07-04,89532.69308269348,23646.766535806746,79.95961910567694,1.0,2012
2012-07-05,88658.73444586844,23646.766535806746,79.95961910567694,1.0,2012
2012-07-06,89523.89752459186,23646.766535806746,79.95961910567694,1.0,2012
2012-07-09,88015.05951206773,23646.766535806746,79.95961910567694,1.0,2012
2012-07-10,87653.64203371009,23646.766535806746,79.95961910567694,1.0,2012
2012-07-11,88185.37350076283,23646.766535806746,79.95961910567694,1.0,2012
2012-07-12,88446.84145523839,23646.766535806746,79.95961910567694,1.0,2012
2012-07-13,88234.94846460834,23646.766535806746,79.95961910567694,1.0,2012
2012-07-16,86605.37142723464,23646.766535806746,79.95961910567694,1.0,2012
2012-07-17,86781.28258926715,23646.766535806746,79.95961910567694,1.0,2012
2012-07-18,86988.37800275083,23646.766535806746,79.95961910567694,1.0,2012
2012-07-19,87493.72279549873,23646.766535806746,79.95961910567694,1.0,2012
